Season,Matchday,Date,Home_Team,Away_Team,Score,Attendance,Home_Goals,Away_Goals,Target,Home_Team_Points,Away_Team_Points,Home_Form_5,Away_Form_5,Home_Rank,Away_Rank
2010,17,2011-01-08,Bnei Yehuda Tel Aviv,Hapoel Beer Sheva,0:0,0,0.0,0.0,1,18,23,4,7,12,8
2010,17,2011-01-08,Hapoel Haifa,Hapoel Ramat Gan,2:0,0,2.0,0.0,0,22,8,6,3,9,16
2010,17,2011-01-08,Hapoel Acre,Hapoel Petah Tikva,3:0,0,3.0,0.0,0,25,13,6,4,5,14
2010,17,2011-01-08,Ironi Kiryat Shmona,FC Ashdod,3:0,0,3.0,0.0,0,26,24,2,10,5,9
2010,17,2011-01-08,Maccabi Netanya,Ihud Bnei Sakhnin,1:0,0,1.0,0.0,0,20,11,4,6,10,15
2010,17,2011-01-08,Hapoel Ashkelon,Hapoel Tel Aviv,0:2,0,0.0,2.0,2,16,35,6,12,13,2
2010,17,2011-01-09,Maccabi Petah Tikva,Maccabi Haifa,1:3,4000,1.0,3.0,2,25,37,8,15,7,2
2010,17,2011-01-10,Maccabi Tel Aviv,Beitar Jerusalem,1:0,0,1.0,0.0,0,29,19,10,10,4,11
2010,18,2011-01-15,Ihud Bnei Sakhnin,Maccabi Tel Aviv,1:3,0,1.0,3.0,2,11,32,3,10,15,3
2010,18,2011-01-15,Bnei Yehuda Tel Aviv,Hapoel Haifa,3:2,0,3.0,2.0,0,19,25,2,9,12,6
2010,18,2011-01-15,Hapoel Ramat Gan,Hapoel Ashkelon,0:4,0,0.0,4.0,2,8,16,3,6,16,13
2010,18,2011-01-15,Hapoel Petah Tikva,Ironi Kiryat Shmona,1:3,0,1.0,3.0,2,13,29,4,4,14,4
2010,18,2011-01-15,Beitar Jerusalem,Maccabi Petah Tikva,0:2,0,0.0,2.0,2,19,25,7,7,13,7
2010,18,2011-01-15,Maccabi Haifa,Hapoel Beer Sheva,2:2,8000,2.0,2.0,1,40,24,15,5,1,8
2010,18,2011-01-16,FC Ashdod,Maccabi Netanya,1:0,0,1.0,0.0,0,24,23,7,7,9,10
2010,18,2011-01-17,Hapoel Tel Aviv,Hapoel Acre,4:1,0,4.0,1.0,0,38,28,15,9,2,5
2010,19,2011-01-22,Hapoel Beer Sheva,Beitar Jerusalem,1:2,0,1.0,2.0,2,25,19,5,4,9,13
2010,19,2011-01-22,Hapoel Ashkelon,Hapoel Haifa,0:0,0,0.0,0.0,1,19,25,9,6,13,8
2010,19,2011-01-22,Hapoel Acre,Hapoel Ramat Gan,0:0,0,0.0,0.0,1,28,8,9,2,5,16
2010,19,2011-01-22,Maccabi Netanya,Hapoel Petah Tikva,3:3,0,3.0,3.0,1,23,13,7,4,10,14
2010,19,2011-01-22,Maccabi Haifa,Bnei Yehuda Tel Aviv,1:0,8000,1.0,0.0,0,41,22,13,5,1,12
2010,19,2011-01-22,Maccabi Tel Aviv,FC Ashdod,4:1,0,4.0,1.0,0,35,27,10,9,3,7
2010,19,2011-01-23,Maccabi Petah Tikva,Ihud Bnei Sakhnin,1:2,0,1.0,2.0,2,28,11,7,3,6,15
2010,19,2011-01-24,Ironi Kiryat Shmona,Hapoel Tel Aviv,1:1,0,1.0,1.0,1,32,41,6,15,4,2
2010,20,2011-01-29,Bnei Yehuda Tel Aviv,Hapoel Ashkelon,2:0,0,2.0,0.0,0,22,20,5,7,12,13
2010,20,2011-01-29,Hapoel Petah Tikva,Maccabi Tel Aviv,0:1,0,0.0,1.0,2,14,38,4,12,15,3
2010,20,2011-01-29,Hapoel Haifa,Hapoel Acre,1:1,0,1.0,1.0,1,26,29,4,7,8,5
2010,20,2011-01-29,Hapoel Ramat Gan,Ironi Kiryat Shmona,0:3,0,0.0,3.0,2,9,33,2,7,16,4
2010,20,2011-01-29,FC Ashdod,Maccabi Petah Tikva,1:3,0,1.0,3.0,2,27,28,9,6,8,6
2010,20,2011-01-29,Ihud Bnei Sakhnin,Hapoel Beer Sheva,1:1,0,1.0,1.0,1,14,25,6,5,14,9
2010,20,2011-01-29,Hapoel Tel Aviv,Maccabi Netanya,2:1,0,2.0,1.0,0,42,24,13,5,2,11
2010,20,2011-01-30,Beitar Jerusalem,Maccabi Haifa,0:0,9000,0.0,0.0,1,22,44,7,13,12,2
2010,21,2011-02-05,Hapoel Beer Sheva,FC Ashdod,5:0,0,5.0,0.0,0,26,27,6,6,9,8
2010,21,2011-02-05,Maccabi Haifa,Ihud Bnei Sakhnin,1:0,6000,1.0,0.0,0,45,15,11,7,1,14
2010,21,2011-02-05,Hapoel Acre,Hapoel Ashkelon,1:0,0,1.0,0.0,0,30,20,5,7,6,13
2010,21,2011-02-05,Ironi Kiryat Shmona,Hapoel Haifa,1:3,0,1.0,3.0,2,36,27,10,5,4,8
2010,21,2011-02-05,Maccabi Netanya,Hapoel Ramat Gan,2:0,0,2.0,0.0,0,24,9,5,2,11,16
2010,21,2011-02-05,Maccabi Petah Tikva,Hapoel Petah Tikva,2:3,0,2.0,3.0,2,31,14,6,1,6,15
2010,21,2011-02-05,Beitar Jerusalem,Bnei Yehuda Tel Aviv,1:1,0,1.0,1.0,1,23,25,5,8,12,11
2010,21,2011-02-06,Maccabi Tel Aviv,Hapoel Tel Aviv,1:1,0,1.0,1.0,1,41,45,12,13,3,2
2010,22,2011-02-12,Hapoel Ramat Gan,Maccabi Tel Aviv,0:3,0,0.0,3.0,2,9,42,1,13,16,3
2010,22,2011-02-12,Bnei Yehuda Tel Aviv,Hapoel Acre,1:0,0,1.0,0.0,0,26,33,8,8,11,5
2010,22,2011-02-12,Hapoel Haifa,Maccabi Netanya,1:2,0,1.0,2.0,2,30,27,8,7,7,10
2010,22,2011-02-12,Hapoel Petah Tikva,Hapoel Beer Sheva,3:1,0,3.0,1.0,0,17,29,4,6,14,9
2010,22,2011-02-12,FC Ashdod,Maccabi Haifa,1:2,4000,1.0,2.0,2,27,48,3,11,11,1
2010,22,2011-02-12,Ihud Bnei Sakhnin,Beitar Jerusalem,1:0,0,1.0,0.0,0,15,24,4,5,15,12
2010,22,2011-02-13,Hapoel Ashkelon,Ironi Kiryat Shmona,0:1,0,0.0,1.0,2,20,36,4,10,13,4
2010,22,2011-02-14,Hapoel Tel Aviv,Maccabi Petah Tikva,2:0,0,2.0,0.0,0,46,31,11,6,2,6
2010,23,2011-02-19,Maccabi Tel Aviv,Hapoel Haifa,0:1,0,0.0,1.0,2,45,30,13,5,3,7
2010,23,2011-02-19,Beitar Jerusalem,FC Ashdod,0:0,0,0.0,0.0,1,24,27,5,3,12,11
2010,23,2011-02-19,Maccabi Netanya,Hapoel Ashkelon,3:0,0,3.0,0.0,0,30,20,7,4,8,13
2010,23,2011-02-19,Maccabi Petah Tikva,Hapoel Ramat Gan,4:1,0,4.0,1.0,0,31,9,6,1,8,16
2010,23,2011-02-19,Ihud Bnei Sakhnin,Bnei Yehuda Tel Aviv,0:1,0,0.0,1.0,2,18,29,7,10,15,10
2010,23,2011-02-19,Hapoel Beer Sheva,Hapoel Tel Aviv,0:3,0,0.0,3.0,2,29,49,5,11,10,2
2010,23,2011-02-20,Ironi Kiryat Shmona,Hapoel Acre,2:2,0,2.0,2.0,1,39,33,10,5,4,6
2010,23,2011-02-21,Maccabi Haifa,Hapoel Petah Tikva,2:0,8000,2.0,0.0,0,51,20,11,7,2,14
2010,24,2011-02-26,Hapoel Ashkelon,Maccabi Tel Aviv,2:4,0,2.0,4.0,2,20,45,1,10,13,3
2010,24,2011-02-26,Bnei Yehuda Tel Aviv,Ironi Kiryat Shmona,3:1,0,3.0,1.0,0,32,40,10,8,9,4
2010,24,2011-02-26,Hapoel Acre,Maccabi Netanya,0:0,0,0.0,0.0,1,34,33,6,10,6,9
